Distrito,Latitud,Longitud,Indice_Seguridad,Proximidad_Vias_Principales_km,Area_Total_m2,Area_Techada_m2,Habitaciones,Banos,Antiguedad_Anios,Estacionamientos,Viabilidad_Pozo_Agua,Potencial_Energia_Solar,Zonificacion,Estado_Independizacion,Modalidad_Compra,Precio_Publicado_USD,Precio_M2_Referencial_Zona
Santa María del Mar,-11.983681893260304,-77.10597567236522,9,4.85,136,127.81,3,2,29,0,0,0,Residencial Media Densidad,0,Contado,236201.86,2000
Barranco,-12.091944466802639,-76.99396887148256,8,4.76,108,98.82,2,1,10,0,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,271101.04,2500
Lince,-11.974687763377203,-76.93556681451275,7,2.47,139,111.65,3,2,38,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,146794.4,1800
San Borja,-11.941188880719425,-76.89001322731824,9,1.4,114,98.31,2,1,4,1,0,0,Residencial Alta Densidad,1,Contado,220766.35,2100
Santiago de Surco,-11.892479295531375,-77.16224659788355,8,2.86,84,82.34,2,1,32,2,0,0,Residencial Alta Densidad,1,Contado,143793.42,1900
Ate,-11.971954323288962,-77.04498758013906,4,0.51,63,51.39,1,1,18,0,0,1,Residencial Media Densidad,1,Contado,49988.87,1100
Los Olivos,-12.080478295263372,-77.10256002313503,5,1.28,259,186.07,5,3,21,1,0,0,Residencial Media Densidad,0,Contado,165856.54,1100
Surquillo,-12.175009628223462,-76.905171543688,6,3.83,91,73.69,2,1,20,0,0,0,Residencial Media Densidad,0,Crédito Hipotecario,97441.85,1500
Jesús María,-11.927345094741494,-76.98380721010822,8,2.06,77,75.25,2,1,13,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,143129.42,1700
San Martín de Porres,-11.894776119421074,-76.94337149365809,4,1.12,210,153.95,4,2,0,1,0,0,Residencial Media Densidad,1,Contado,151586.99,950
Villa María del Triunfo,-12.174264108379873,-77.06029510756171,3,0.98,80,72.8,2,1,32,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,37021.41,850
Ancón,-12.083171893347084,-77.00554949504472,5,4.54,120,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Contado,84202.46,600
Lima (Cercado),-12.016773512033735,-76.92542022222935,4,3.68,292,251.9,7,4,17,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,290759.28,1300
Punta Hermosa,-12.164593932245875,-76.77310481421495,8,3.48,271,270.69,7,4,30,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,480120.35,1800
Santa Anita,-12.137588554345452,-76.95168993024339,5,2.28,183,160.58,4,2,24,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,138359.05,1050
Miraflores,-12.184809410908105,-76.94357589100876,9,3.82,210,184.92,5,3,26,0,0,1,Residencial Alta Densidad,1,Crédito Hipotecario,457657.85,2400
San Isidro,-12.049451561516136,-76.97527991085573,9,0.82,173,137.22,3,2,10,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,430324.41,2600
Puente Piedra,-12.03409985028979,-77.13082323627606,4,3.22,200,0.0,0,0,0,2,1,1,Alquiler Vacacional,1,Cuotas sin intereses,183010.87,850
Pucusana,-12.013115370379086,-76.87701975420745,5,4.09,265,217.89,6,4,30,0,0,0,Residencial Media Densidad,0,Crédito Hipotecario,118752.23,700
Pueblo Libre,-11.941973852991495,-77.23507302994491,8,1.01,81,68.93,1,1,29,0,0,0,Residencial Media Densidad,0,Contado,96718.76,1600
Santa María del Mar,-11.935846402960461,-77.17936968213563,9,2.76,216,182.2,5,3,6,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,429589.21,2000
Rímac,-12.084162954463066,-77.1294481081079,4,0.89,70,51.29,1,1,36,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,33190.94,1000
Miraflores,-12.11753690117571,-77.08407560649927,9,3.57,281,234.01,6,4,19,1,0,0,Residencial Alta Densidad,1,Contado,626236.78,2400
Villa María del Triunfo,-12.05890837184042,-77.12786464831674,3,4.5,113,108.94,3,2,18,2,0,0,Residencial Media Densidad,1,Contado,73422.09,850
Lurigancho-Chosica,-11.989579854009843,-77.04945421779665,6,1.46,54,51.36,1,1,12,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,40421.61,800
San Miguel,-11.944654870177413,-76.87108349366405,7,3.07,97,79.32,2,1,27,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,109861.98,1600
San Martín de Porres,-12.023088678624497,-77.1514313122162,4,1.26,269,202.96,5,3,30,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,137161.63,950
Comas,-11.987924491319152,-77.09148582690031,4,0.3,102,92.54,2,1,38,1,0,1,Residencial Media Densidad,0,Crédito Hipotecario,56024.33,900
Santa María del Mar,-12.078029244040817,-76.99118918243046,9,0.51,271,219.58,6,4,30,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,413319.52,2000
San Borja,-12.141281563784093,-77.09380175884796,9,3.15,175,129.51,3,2,10,0,0,1,Residencial Alta Densidad,1,Contado,312822.8,2100
San Luis,-12.028541757644598,-77.00417282468685,6,2.21,98,96.74,2,1,38,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,111124.67,1400
San Juan de Lurigancho,-12.153305037097777,-76.94069151505074,3,1.98,111,81.92,2,1,7,1,0,1,Residencial Media Densidad,1,Contado,70405.76,900
Barranco,-12.00153152101889,-77.02189276088485,8,2.32,219,217.24,6,4,6,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,650323.59,2500
Barranco,-12.042530158856295,-77.08203812753844,8,1.74,150,118.52,3,2,18,2,0,0,Residencial Alta Densidad,1,Contado,324049.42,2500
Rímac,-11.879144576326134,-77.04249913540912,4,4.76,240,210.84,6,4,16,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,170819.4,1000
Lima (Cercado),-11.936091595189483,-77.02419475164845,4,3.29,60,45.31,1,1,1,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,57618.86,1300
Surquillo,-12.222868916391384,-76.95296120231959,6,0.66,135,129.47,3,2,37,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,150741.0,1500
Pucusana,-11.905476135653263,-77.04023409330364,5,4.55,97,70.76,2,1,8,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,53916.76,700
Santiago de Surco,-12.12032674589481,-77.18450991663762,8,3.83,144,134.98,3,2,4,0,0,1,Residencial Alta Densidad,1,Contado,316118.63,1900
Independencia,-12.225273461168197,-76.89678364758893,4,2.76,139,114.58,3,2,15,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,89817.67,950
San Juan de Lurigancho,-12.037658385292433,-76.9172332708879,3,3.09,281,223.89,6,4,31,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,140956.5,900
San Miguel,-12.130613123335637,-77.12078685780354,7,4.91,112,87.57,2,1,25,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,139142.72,1600
San Juan de Miraflores,-12.160158664982548,-77.03871923242566,4,4.49,82,69.97,1,1,7,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,67439.67,1000
Pueblo Libre,-12.152635375503696,-77.07447878935166,8,1.76,182,156.16,4,2,35,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,221841.57,1600
Santa Rosa,-12.043368967170446,-76.97636895693577,5,3.64,1000,0.0,0,0,0,1,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,610174.68,600
San Luis,-11.988092850151249,-76.99236432342663,6,2.54,81,80.71,2,1,12,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,105273.88,1400
Rímac,-12.013851831326226,-76.96166756991713,4,3.59,75,66.29,1,1,26,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,53573.84,1000
Santa Anita,-12.146014417533221,-76.91628199305403,5,4.88,257,208.5,5,3,9,1,0,0,Residencial Media Densidad,1,Contado,210137.1,1050
Chorrillos,-12.132593373957539,-76.9407261901413,5,2.73,294,281.25,8,5,2,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,400127.76,1400
Breña,-12.273428120888331,-76.98825556409534,5,2.85,74,73.69,2,1,1,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,101476.7,1300
Santa Anita,-11.922060581691316,-77.1388854962898,5,2.9,58,48.92,1,1,1,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,55450.32,1050
Ancón,-12.079222128705446,-76.93808824439176,5,4.68,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,0,Crédito Hipotecario,77323.24,600
Ancón,-12.140135664455123,-77.05118836388912,5,1.86,200,0.0,0,0,0,1,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,118495.74,600
Magdalena del Mar,-12.034219103321162,-77.07525022077968,8,1.8,143,127.32,3,2,13,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,257560.07,1800
Lurín,-11.953257230865303,-77.10821072931427,5,2.14,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,63052.93,500
San Bartolo,-12.300989936418322,-76.98335481952248,7,1.07,60,50.81,1,1,30,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,60710.57,1400
El Agustino,-12.041702031695117,-77.06662714116102,3,2.09,139,137.56,3,2,12,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,99640.51,850
Lurigancho-Chosica,-12.003862043416513,-76.99779360813753,6,1.13,234,212.13,6,4,7,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,172793.19,800
Rímac,-12.095747082069856,-77.10165726410419,4,3.84,87,83.81,2,1,28,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,60496.02,1000
San Martín de Porres,-12.069064061458436,-77.02931617102792,4,3.47,127,100.22,2,1,39,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,60844.94,950
Villa María del Triunfo,-12.171814359292943,-77.15263621217672,3,2.01,202,142.65,4,2,6,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,110078.42,850
San Isidro,-11.993817822898714,-76.90423511474548,9,0.98,287,258.44,7,4,16,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,762636.11,2600
Punta Negra,-12.17127728452343,-76.99032866979123,7,4.88,196,168.79,4,2,8,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,229246.06,1200
Independencia,-12.150547348340323,-76.971214718723,4,3.55,119,97.08,2,1,35,0,0,1,Residencial Media Densidad,0,Crédito Hipotecario,67455.8,950
Santa María del Mar,-11.954811825153069,-76.97827754863754,9,3.48,164,152.09,4,2,5,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,324708.8,2000
Carabayllo,-12.07244836883623,-76.94456290258236,4,4.5,200,20.86,3,2,9,1,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,23037.0,800
Cieneguilla,-12.20990136432827,-77.01575864475467,7,2.22,120,0.0,0,0,0,1,1,1,Alquiler Vacacional,1,Cuotas sin intereses,53455.83,350
San Luis,-12.047851897247764,-76.74432721932783,6,0.19,67,53.81,1,1,4,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,73096.56,1400
Jesús María,-11.940995224016424,-77.25292684120394,8,2.11,250,243.0,6,4,19,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,418303.64,1700
Santa María del Mar,-12.08785669623169,-77.01927384185383,9,0.69,72,64.43,1,1,25,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,139680.0,2000
Ancón,-11.83021139713499,-76.97206686263348,5,1.48,500,0.0,0,0,0,1,0,1,Alquiler Vacacional,0,Cuotas sin intereses,284560.39,600
San Isidro,-12.154796636456465,-77.14176866064888,9,0.84,62,55.62,1,1,29,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,144254.54,2600
Breña,-12.040906863014214,-77.00146854839112,5,3.62,191,176.05,5,3,7,0,0,0,Residencial Media Densidad,1,Contado,223723.47,1300
Carabayllo,-11.993240489670226,-77.08487106093698,4,2.91,120,0.0,0,0,0,3,1,1,Alquiler Vacacional,1,Cuotas sin intereses,108370.97,800
San Borja,-11.856716610583275,-76.96163908385245,9,2.74,172,167.95,4,2,17,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,381152.97,2100
Pueblo Libre,-12.232586527504017,-76.91638106549033,8,2.45,295,222.49,6,4,18,0,0,0,Residencial Media Densidad,0,Crédito Hipotecario,365864.17,1600
Barranco,-12.09530575221472,-76.88583400920695,8,1.58,294,228.0,6,4,20,2,0,0,Residencial Alta Densidad,1,Contado,532960.92,2500
Independencia,-12.105147282557317,-77.00743042711296,4,2.32,134,100.19,2,1,17,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,70542.18,950
Breña,-12.053070511880321,-76.85524449696061,5,0.55,196,138.97,3,2,7,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,160528.88,1300
Punta Hermosa,-12.0339783168952,-76.98643447124493,8,2.84,238,216.22,6,4,14,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,403508.3,1800
Punta Negra,-11.973197633139286,-77.09495240936336,7,3.41,122,92.89,2,1,37,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,86102.32,1200
Villa María del Triunfo,-12.031695982747063,-76.90385683320204,3,1.26,272,227.32,6,4,8,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,163713.76,850
Punta Negra,-12.114963275679381,-76.90427017401944,7,1.2,183,159.03,4,2,14,0,0,0,Residencial Media Densidad,1,Contado,199032.23,1200
Villa El Salvador,-12.140840207326937,-77.20083318992529,4,1.37,120,0.0,0,0,0,1,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,106673.15,800
Chaclacayo,-11.911272134140305,-77.03591218864013,7,0.64,193,186.21,5,3,17,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,146296.4,900
Lima (Cercado),-12.143332320575018,-77.18862737058409,4,3.63,111,83.5,2,1,18,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,91898.78,1300
San Borja,-11.98500658114224,-77.30485781624532,9,1.45,98,69.93,1,1,15,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,158193.29,2100
Villa El Salvador,-12.093344006291078,-76.88843661453174,4,4.56,120,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,92964.3,800
Santa Anita,-12.16615492028443,-77.03250404630757,5,0.92,295,233.89,6,4,20,0,0,1,Residencial Media Densidad,0,Contado,214915.2,1050
Santa Anita,-12.119535374237243,-76.73386465601035,5,3.37,128,93.4,2,1,27,1,0,1,Residencial Media Densidad,1,Contado,87519.2,1050
Villa El Salvador,-12.133265963924128,-76.96092191580738,4,0.55,1000,0.0,0,0,0,3,1,1,Alquiler Vacacional,0,Contado,706040.07,800
Santa Anita,-11.887265360513254,-77.11586861353732,5,1.28,182,174.94,4,2,38,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,118715.42,1050
San Martín de Porres,-12.074827543774282,-76.90270213281327,4,0.7,277,216.08,6,4,39,2,0,0,Residencial Media Densidad,1,Contado,134361.63,950
Pucusana,-11.94836683412578,-76.99422556583457,5,4.6,50,44.79,1,1,32,0,0,1,Residencial Media Densidad,0,Contado,26634.58,700
Chaclacayo,-12.033663865036933,-77.05840751390893,7,4.19,81,63.23,1,1,1,0,0,0,Residencial Media Densidad,1,Contado,68239.39,900
Breña,-11.977401695876432,-77.01567661245674,5,3.85,265,255.25,7,4,32,0,0,1,Residencial Media Densidad,0,Crédito Hipotecario,232501.18,1300
Lurigancho-Chosica,-11.932262135600011,-76.93750172755111,6,4.88,206,196.77,5,3,34,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,120941.91,800
Comas,-12.273492350513619,-77.13788367164845,4,2.87,251,236.7,6,4,21,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,175835.01,900
San Bartolo,-12.255850270677676,-77.11307813440139,7,3.9,196,165.79,4,2,11,1,0,0,Residencial Media Densidad,1,Contado,254545.95,1400
La Molina,-11.989654928057305,-76.92426460572105,9,1.68,202,193.17,5,3,0,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,458464.96,1900
Los Olivos,-11.9525963459,-77.15309008500411,5,0.75,237,192.74,5,3,39,1,0,1,Residencial Media Densidad,1,Contado,136704.82,1100
San Juan de Lurigancho,-12.242650440235444,-77.10425505493512,3,4.0,140,133.9,3,2,24,1,0,0,Residencial Media Densidad,1,Contado,88642.34,900
Pachacámac,-12.139671187158417,-76.957220243681,6,1.06,500,0.0,0,0,0,1,0,1,Alquiler Vacacional,1,Cuotas sin intereses,229246.05,400
Breña,-12.089785809220155,-76.99379155403095,5,4.84,178,133.86,3,2,3,2,0,1,Residencial Media Densidad,1,Contado,172222.57,1300
Carabayllo,-12.066886130964432,-76.94778728759789,4,0.53,200,0.0,0,0,0,3,1,1,Alquiler Vacacional,0,Contado,148945.05,800
Santa Anita,-12.012086074884628,-76.95652580931514,5,4.72,167,166.3,4,2,11,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,148177.41,1050
Surquillo,-11.822974513702366,-77.03809742644981,6,4.42,144,118.39,3,2,34,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,148699.02,1500
La Molina,-12.188212759945497,-77.0951817686288,9,1.02,131,127.83,3,2,9,1,0,0,Residencial Alta Densidad,1,Contado,265561.72,1900
San Luis,-12.114258028845112,-77.11224671815819,6,1.72,291,270.69,7,4,25,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,308252.23,1400
Pachacámac,-12.11906320687061,-77.03482282575766,6,2.92,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,57158.71,400
Pucusana,-12.067459224600217,-77.22483124484077,5,1.37,115,93.35,2,1,28,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,52378.49,700
Barranco,-11.978073546896814,-76.9403151877171,8,0.27,242,239.69,6,4,26,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,590567.19,2500
Villa El Salvador,-11.924867134098385,-77.0125027864248,4,3.61,200,29.01,1,1,2,3,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,32590.84,800
San Luis,-12.260807046893536,-77.09087532814058,6,4.16,209,190.41,5,3,17,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,260095.92,1400
San Juan de Lurigancho,-12.050469887883528,-77.04073960518117,3,0.57,113,79.24,2,1,29,0,0,0,Residencial Media Densidad,0,Crédito Hipotecario,47930.49,900
Miraflores,-12.123677877004292,-76.97016825820745,9,4.76,76,64.99,1,1,1,0,0,1,Residencial Alta Densidad,1,Crédito Hipotecario,177814.46,2400
Miraflores,-12.028749610753513,-76.92157083513264,9,2.3,244,222.19,6,4,30,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,471246.15,2400
Independencia,-11.94174126186887,-77.02554356791242,4,4.05,119,85.17,2,1,20,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,67526.66,950
Santa Rosa,-11.944628675750046,-77.15585121963751,5,3.84,120,33.81,3,2,11,2,1,1,Alquiler Vacacional,1,Cuotas sin intereses,26872.97,600
Breña,-12.001462297835936,-77.09456018954336,5,1.72,292,250.3,7,4,32,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,241937.5,1300
Ancón,-12.07771637611912,-76.9657962130139,5,3.64,200,0.0,0,0,0,2,1,1,Alquiler Vacacional,1,Contado,125569.01,600
Rímac,-11.89958724241452,-77.07405956160628,4,1.64,210,195.59,5,3,36,0,0,0,Residencial Media Densidad,1,Contado,135450.54,1000
Pueblo Libre,-12.149296279130526,-77.12133526164968,8,2.91,193,150.94,4,2,0,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,300176.94,1600
San Martín de Porres,-11.98119462381722,-77.11239680106343,4,4.33,216,164.17,4,2,17,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,136541.88,950
La Molina,-12.065839918305157,-77.12410184739419,9,2.73,217,201.09,5,3,31,1,0,0,Residencial Alta Densidad,1,Contado,331229.35,1900
San Luis,-12.108685533167849,-76.95658462261498,6,1.8,233,190.63,5,3,20,2,0,0,Residencial Media Densidad,1,Contado,236528.66,1400
Independencia,-11.961356989188326,-76.95246123939138,4,0.62,275,194.45,5,3,0,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,174658.46,950
San Miguel,-12.072599976926842,-77.03025033476196,7,3.65,115,101.09,2,1,12,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,158283.96,1600
Los Olivos,-11.977820025020083,-77.03333931615168,5,0.86,175,129.47,3,2,20,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,116961.14,1100
San Martín de Porres,-12.091999219366,-76.97678169271639,4,1.3,200,172.67,4,2,13,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,146643.47,950
Lurigancho-Chosica,-11.838195733336162,-77.0824379443635,6,0.8,249,218.94,6,4,20,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,167269.63,800
Santiago de Surco,-12.031840631992925,-77.02638785195444,8,2.14,264,199.06,5,3,35,2,0,0,Residencial Alta Densidad,1,Contado,327514.7,1900
Pachacámac,-12.041299165161588,-77.2359410997455,6,3.27,120,0.0,0,0,0,3,1,1,Alquiler Vacacional,0,Cuotas sin intereses,62073.88,400
Pueblo Libre,-12.015387157733567,-77.05298430330245,8,2.84,145,124.6,3,2,11,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,200332.5,1600
Lurín,-11.914643230337989,-76.97574698291903,5,0.75,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,70069.88,500
Santa Anita,-11.974961495530568,-76.88272261863894,5,1.12,276,218.13,6,4,20,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,207291.07,1050
Santa Rosa,-11.977140201318116,-76.99194430815798,5,1.57,120,22.85,1,3,2,2,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,22909.21,600
Miraflores,-12.10071834149269,-76.95824357022491,9,2.08,293,224.47,6,4,4,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,686842.99,2400
Cieneguilla,-12.096960139754694,-76.90009380074304,7,4.71,120,0.0,0,0,0,2,1,1,Alquiler Vacacional,1,Cuotas sin intereses,56205.58,350
Rímac,-11.99761178307774,-77.09116801633793,4,0.5,72,54.1,1,1,3,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,51528.47,1000
Carabayllo,-12.123956086088443,-77.03239964478882,4,2.81,120,0.0,0,0,0,3,0,1,Residencial Baja Densidad,0,Contado,91298.5,800
Los Olivos,-11.885683145264775,-76.87900729933376,5,4.23,179,165.95,4,2,19,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,165094.71,1100
Santa Anita,-11.833122056702562,-77.03008651097053,5,4.9,137,129.71,3,2,28,0,0,1,Residencial Media Densidad,0,Crédito Hipotecario,109387.99,1050
San Miguel,-12.099668111099028,-77.02045238389152,7,0.97,105,91.91,2,1,8,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,161991.26,1600
Lurín,-12.091037532547702,-77.13001740117551,5,0.18,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,63464.71,500
Punta Negra,-11.990790345540224,-77.10913698411625,7,0.7,201,180.26,5,3,4,0,0,0,Residencial Media Densidad,1,Contado,247566.37,1200
San Luis,-12.009418284967618,-76.99336477841302,6,3.45,79,70.19,2,1,3,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,96677.92,1400
Independencia,-12.002875501696977,-77.09117067805121,4,2.58,64,49.24,1,1,30,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,35414.28,950
Jesús María,-12.026036172427128,-77.0999323742128,8,1.65,262,222.1,6,4,30,0,0,1,Residencial Media Densidad,0,Crédito Hipotecario,362433.11,1700
Miraflores,-11.920851664231348,-76.93837254117672,9,1.39,216,192.36,5,3,17,2,0,0,Residencial Alta Densidad,0,Contado,493220.67,2400
Independencia,-11.88340040427554,-77.06874795980741,4,4.56,209,151.02,4,2,17,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,125809.62,950
Santa Rosa,-11.904043307556227,-76.95360221112999,5,2.55,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,74790.48,600
Rímac,-11.952238994697073,-77.10882085915888,4,2.53,257,186.09,5,3,13,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,144779.44,1000
Carabayllo,-12.236036957483508,-76.87837726845474,4,2.95,120,0.0,0,0,0,3,0,1,Residencial Baja Densidad,1,Cuotas sin intereses,94159.74,800
Los Olivos,-12.140352881029521,-77.05190115672826,5,0.42,84,69.16,1,1,35,1,0,0,Residencial Media Densidad,1,Contado,51185.22,1100
Magdalena del Mar,-11.915022767164832,-77.12934998439239,8,1.47,287,248.07,7,4,38,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,388580.62,1800
Surquillo,-11.907349587674974,-77.02461176057452,6,3.66,238,208.45,5,3,27,2,0,0,Residencial Media Densidad,1,Contado,251424.97,1500
Jesús María,-12.08528246304281,-77.21536155460092,8,1.87,281,226.48,6,4,3,1,0,0,Residencial Media Densidad,1,Contado,391388.11,1700
Chaclacayo,-12.07252480251966,-77.18409654010183,7,0.92,243,230.57,6,4,36,1,0,0,Residencial Media Densidad,1,Contado,166691.96,900
Los Olivos,-11.957520318495291,-77.23746263182306,5,0.5,86,82.89,2,1,38,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,70235.43,1100
Lurín,-11.95525925831686,-77.02773372350164,5,3.63,1000,340.31,3,3,11,2,1,0,Alquiler Vacacional,0,Cuotas sin intereses,148200.8,500
Punta Hermosa,-11.926320553915547,-76.934866222329,8,2.76,174,167.9,4,2,7,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,307809.77,1800
San Juan de Lurigancho,-12.077358759018017,-77.16922542381539,3,3.24,54,41.68,1,1,34,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,25855.42,900
Chaclacayo,-11.836108154911333,-77.00329627669166,7,4.41,180,147.23,4,2,18,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,133172.93,900
San Miguel,-11.95482341978832,-76.9767966522542,7,0.87,107,92.36,2,1,10,0,0,0,Residencial Media Densidad,1,Contado,147783.43,1600
Santa María del Mar,-11.95694396177508,-76.98440554161253,9,3.15,262,257.37,7,4,38,2,0,0,Residencial Media Densidad,1,Contado,489444.83,2000
Independencia,-12.078525102808861,-77.02846228148317,4,1.62,268,189.32,5,3,19,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,148522.86,950
San Juan de Miraflores,-12.045130812440862,-77.09778127881607,4,1.38,139,138.6,3,2,1,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,141952.6,1000
Pueblo Libre,-12.028370798520173,-76.85753759170696,8,1.31,183,146.24,4,2,22,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,234328.07,1600
Pucusana,-11.94691386025511,-77.28487916136882,5,1.61,135,118.37,3,2,27,2,0,0,Residencial Media Densidad,1,Contado,69125.84,700
Lima (Cercado),-12.29731702015625,-77.1699804671773,4,2.7,204,166.78,4,2,0,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,190815.19,1300
Punta Negra,-11.99077920736966,-76.86669707661504,7,2.36,114,90.59,2,1,30,2,0,1,Residencial Media Densidad,1,Contado,105704.47,1200
Independencia,-12.032150086009883,-77.01522376169014,4,1.14,92,79.85,2,1,20,2,0,0,Residencial Media Densidad,1,Contado,63509.91,950
Los Olivos,-11.882799191902938,-76.87016511278165,5,2.46,293,208.32,5,3,8,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,219396.84,1100
La Victoria,-12.074525194620088,-76.88381159072682,3,2.02,168,143.35,4,2,39,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,108233.14,1200
